"marker_cluster","kw_p_value","vs_CEM_HUT78","vs_CEM_K562","vs_CEM_Untreated","vs_HUT78_K562","vs_HUT78_Untreated","vs_K562_Untreated"
"NKp30_Cluster2",0.755082540383529,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009
"NKp30_Cluster3",0.909423344566565,1,1,1,1,1,1
"CD127_Cluster1",0.702930623444844,0.92257399679933,0.92257399679933,1,0.92257399679933,0.92257399679933,0.92257399679933
"CD127_Cluster2",0.803580752821149,0.964886990785496,0.964886990785496,0.97541085916372,0.97541085916372,0.964886990785496,0.964886990785496
"CD127_Cluster3",0.849980624008743,0.881351819446314,0.926298657594929,0.881351819446314,0.881351819446314,0.881351819446314,0.881351819446314
"MIP-1b_Cluster1",0.0034318640808768,0.16395207968771,0.010249758318139,0.877480145376228,0.39440014358146,0.0212003011222287,0.010249758318139
"MIP-1b_Cluster2",0.0566274265067533,0.11844498287492,0.144186786426657,0.557077301484355,0.557077301484355,0.11844498287492,0.224821944033143
"MIP-1b_Cluster3",0.360932516381395,0.734304139796131,0.570351724722434,0.734304139796131,0.734304139796131,0.570351724722434,0.570351724722434
"Perforin_Cluster1",0.882028484860559,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"Perforin_Cluster2",0.684543213851957,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228
"Perforin_Cluster3",0.811009032882464,0.771909592628397,0.771909592628397,0.771909592628397,0.771909592628397,0.83879047576315,0.771909592628397
"CD107a_Cluster1",0.136149145438734,0.97541085916372,0.207045362767533,0.97541085916372,0.207045362767533,0.97541085916372,0.207045362767533
"CD107a_Cluster2",0.0388269508977472,0.211746350297972,0.483444976076555,0.211746350297972,0.602685023157496,0.0471952259164535,0.186125095347063
"CD107a_Cluster3",0.930923397006545,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745
"FASL (CD178)_Cluster1",0.917690556247972,0.937576818120633,0.937576818120633,0.937576818120633,0.937576818120633,0.937576818120633,0.981968711206832
"FASL (CD178)_Cluster2",0.549813077095142,0.937576818120633,0.805741626794258,0.97541085916372,0.805741626794258,0.937576818120633,0.805741626794258
"FASL (CD178)_Cluster3",0.883099545754406,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315
"CX3CR1_Cluster1",0.934785857575804,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"CX3CR1_Cluster2",0.788880589450986,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009
"CX3CR1_Cluster3",0.947444467682972,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612
"TIGIT_Cluster1",0.263066232711078,0.423492700595945,0.373058896951749,0.527834836451743,0.700610570187902,0.685703773500247,0.527834836451743
"TIGIT_Cluster2",0.509718412556676,0.71941262129982,0.658418482849766,0.658418482849766,1,0.658418482849766,0.658418482849766
"TIGIT_Cluster3",0.285438820038209,0.373058896951749,0.478339186725241,0.526734786279813,1,0.526734786279813,0.526734786279813
