"Condition","p_value","Marker"
"HUT78",0.203125,"CD57_Cluster2"
"K562",0.49609375,"CD57_Cluster2"
"Untreated",0.8203125,"CD57_Cluster2"
"CEM",0.01953125,"CD57_Cluster3"
"HUT78",0.0078125,"CD57_Cluster3"
"K562",0.00390625,"CD57_Cluster3"
"Untreated",0.01953125,"CD57_Cluster3"
"CEM",0.49609375,"CD57_Cluster4"
"HUT78",1,"CD57_Cluster4"
"K562",0.09765625,"CD57_Cluster4"
"Untreated",0.5703125,"CD57_Cluster4"
"CEM",0.12890625,"CD57_Cluster5"
"HUT78",0.91015625,"CD57_Cluster5"
"K562",0.359375,"CD57_Cluster5"
"Untreated",0.25,"CD57_Cluster5"
"CEM",0.0078125,"CD16_Cluster1"
"HUT78",0.0078125,"CD16_Cluster1"
"K562",0.00390625,"CD16_Cluster1"
"Untreated",0.00390625,"CD16_Cluster1"
"CEM",1,"CD16_Cluster2"
"HUT78",0.8203125,"CD16_Cluster2"
"K562",1,"CD16_Cluster2"
"Untreated",1,"CD16_Cluster2"
"CEM",0.01171875,"CD16_Cluster3"
"HUT78",0.01953125,"CD16_Cluster3"
"K562",0.01171875,"CD16_Cluster3"
"Untreated",0.02734375,"CD16_Cluster3"
"CEM",0.12890625,"CD16_Cluster4"
"HUT78",0.01171875,"CD16_Cluster4"
"K562",0.00390625,"CD16_Cluster4"
"Untreated",0.02734375,"CD16_Cluster4"
"CEM",0.00390625,"CD16_Cluster5"
"HUT78",0.00390625,"CD16_Cluster5"
"K562",0.0078125,"CD16_Cluster5"
"Untreated",0.00390625,"CD16_Cluster5"
"CEM",0.42578125,"CD122_Cluster1"
"HUT78",0.49609375,"CD122_Cluster1"
"K562",0.49609375,"CD122_Cluster1"
"Untreated",1,"CD122_Cluster1"
"CEM",0.1640625,"CD122_Cluster2"
"HUT78",1,"CD122_Cluster2"
"K562",1,"CD122_Cluster2"
"Untreated",0.734375,"CD122_Cluster2"
"CEM",0.1640625,"CD122_Cluster3"
"HUT78",0.25,"CD122_Cluster3"
"K562",0.0546875,"CD122_Cluster3"
"Untreated",0.07421875,"CD122_Cluster3"
"CEM",0.49609375,"CD122_Cluster4"
"HUT78",0.07421875,"CD122_Cluster4"
"K562",0.02734375,"CD122_Cluster4"
"Untreated",0.09765625,"CD122_Cluster4"
"CEM",0.49609375,"CD122_Cluster5"
"HUT78",0.65234375,"CD122_Cluster5"
"K562",1,"CD122_Cluster5"
"Untreated",0.65234375,"CD122_Cluster5"
